pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
Kepler-31 d,Kepler-31,1,3,Transit,2014,Kepler,,87.6475334,0.409,4.06,0,12.96,484,6104.5,1.24,1.15,294.0230229,45.8530535,1664.64
Kepler-310 b,Kepler-310,1,3,Transit,2014,Kepler,,13.93072278,0.11015,1.23,0,61.47,714,5673,0.85,0.93,288.839278,46.9867472,602.268
Kepler-310 c,Kepler-310,1,3,Transit,2014,Kepler,,56.47594641,0.2794,3.33,0,9.52,448,5551,0.85,0.95,288.839278,46.9867472,602.268
Kepler-310 d,Kepler-310,1,3,Transit,2014,Kepler,,92.8750347,0.3895,2.47,0,4.9,380,5551,0.85,0.955,288.839278,46.9867472,602.268
Kepler-311 b,Kepler-311,1,3,Transit,2014,Kepler,,9.17613539,0.085,1.6295,0,175.04,928,5897,1.16,1.05,282.0612731,47.0854984,778.654
Kepler-311 c,Kepler-311,1,3,Transit,2014,Kepler,,19.7383913,0.14165,1.47,0,63.07,719,5897,1.16,1.05,282.0612731,47.0854984,778.654
Kepler-312 b,Kepler-312,1,2,Transit,2014,Kepler,,1.77244975,0.0305,1.02,0,1715.03,1641,6173,1.19,1.2,298.3957687,42.4597712,797.72
Kepler-312 c,Kepler-312,1,2,Transit,2014,Kepler,,19.74733983,0.15255,2.61,0,68.96,735,6173,1.19,1.2,298.3957687,42.4597712,797.72
Kepler-314 b,Kepler-314,1,2,Transit,2014,Kepler,,2.46106655,0.036,0.82,0,520.99,1218,5430.5,0.91,1,294.6741507,42.0756037,268.881
Kepler-314 c,Kepler-314,1,2,Transit,2014,Kepler,,5.96040087,0.065,2.86,0,159.81,907,5421,0.91,0.98,294.6741507,42.0756037,268.881
Kepler-315 b,Kepler-315,1,2,Transit,2014,Kepler,,96.105471,0.389,3.89,0,4.81,378,5778,1,0.915,298.0230967,43.3634761,1160.63
Kepler-315 c,Kepler-315,1,2,Transit,2014,Kepler,,265.468478,0.7584,4.15,0,1.24,269,5783,1,0.88,298.0230967,43.3634761,1160.63
Kepler-316 b,Kepler-316,1,2,Transit,2014,Kepler,,2.2404867,0.0277,1.22,0,110.165,815,4200,0.57,0.59,290.825835,44.1838993,384.938
Kepler-316 c,Kepler-316,1,2,Transit,2014,Kepler,,6.827782735,0.0582,1.34,0,24.975,562,4202,0.585,0.605,290.825835,44.1838993,384.938
Kepler-317 b,Kepler-317,1,2,Transit,2014,Kepler,,5.52418071,0.0608,2.11,0,193.67,951,5434.5,0.94,0.98,294.9438822,39.0320499,940.584
Kepler-317 c,Kepler-317,1,2,Transit,2014,Kepler,,8.77508519,0.0827,1.85,0,104.68,816,5434.5,0.94,0.98,294.9438822,39.0320499,940.584
Kepler-318 b,Kepler-318,1,2,Transit,2014,Kepler,,4.66271904,0.0563,5.255,0,732.99,1327,5903,0.98,1.08,298.4828337,46.7936357,489.141
